PROGRAMA: char_sort
 salida de comprobacion de la instruccion que hay en un ciclo en cada etapa
ciclo  CP, dir  BUS, I. hex   DL, I. ascii
                                                   ETAPAS: DL, ALU, M, FMTL, ES         RIESGOS
                                                   DL    ALU   M     FMTL  ES       R.DATOS R.SECUENCIAMIENTO
   59  00000120  40B78733    addi x15, x11, x000 | DL  | nop | nop | nop | nop      RD:  0  RS:  0
   60  00000124  00000513     sub x14, x15, x11  | DLB | A   | nop | nop | nop      RD:  1  RS:  0
   61  00000124  00000513     sub x14, x15, x11  | DLB | nop | R   | nop | nop      RD:  1  RS:  0
   62  00000124  00000513     sub x14, x15, x11  | DLB | nop | nop | R   | nop      RD:  1  RS:  0
   63  00000124  00000513     sub x14, x15, x11  | DLB | nop | nop | nop | E        RD:  1  RS:  0
   64  00000124  00000513     sub x14, x15, x11  | DL  | nop | nop | nop | nop      RD:  0  RS:  0
   65  00000128  02C75463    addi x10, x0 , x000 | DL  | A   | nop | nop | nop      RD:  0  RS:  0
   66  0000012C  0007C703     bge x14, x12, x014 | DLB | A   | R   | nop | nop      RD:  1  RS:  1
   67  0000012C  0007C703     bge x14, x12, x014 | DLB | nop | R   | R   | nop      RD:  1  RS:  1
   68  0000012C  0007C703     bge x14, x12, x014 | DLB | nop | nop | R   | E        RD:  1  RS:  1
   69  0000012C  00000013     bge x14, x12, x014 | DL  | nop | nop | nop | E        RD:  0  RS:  1
   70  00000128  00000013    addi x0 , x0 , x000 | DLN | A   | nop | nop | nop      RD:  0  RS:  1
   71  0000012C  0007C703    addi x0 , x0 , x000 | DLN | AN  | -   | nop | nop      RD:  0  RS:  0
   72  00000130  0017C683     lbu x14, x000(x15) | DL  | AN  | RN  | -   | nop      RD:  0  RS:  0
   73  00000134  00E6F863     lbu x13, x001(x15) | DL  | A   | RN  | RN  | -        RD:  0  RS:  0
   74  00000138  00D78023    bgeu x13, x14, x008 | DLB | A   | M   | RN  | EN       RD:  1  RS:  1
   75  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | M   | F   | EN       RD:  1  RS:  1
   76  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | nop | F   | E        RD:  1  RS:  1
   77  00000138  00D78023    bgeu x13, x14, x008 | DLB | nop | nop | nop | E        RD:  1  RS:  1
   78  00000138  00000013    bgeu x13, x14, x008 | DL  | nop | nop | nop | nop      RD:  0  RS:  1
   79  00000140  00000013    addi x0 , x0 , x000 | DLN | A   | nop | nop | nop      RD:  0  RS:  1
   80  00000144  00178793    addi x0 , x0 , x000 | DLN | AN  | -   | nop | nop      RD:  0  RS:  0
   81  00000148  40B78733    addi x15, x15, x001 | DL  | AN  | RN  | -   | nop      RD:  0  RS:  0
   82  0000014C  FEC740E3     sub x14, x15, x11  | DLB | A   | RN  | RN  | -        RD:  1  RS:  0
   83  0000014C  FEC740E3     sub x14, x15, x11  | DLB | nop | R   | RN  | EN       RD:  1  RS:  0
   84  0000014C  FEC740E3     sub x14, x15, x11  | DLB | nop | nop | R   | EN       RD:  1  RS:  0
   85  0000014C  FEC740E3     sub x14, x15, x11  | DLB | nop | nop | nop | E        RD:  1  RS:  0
   86  0000014C  FEC740E3     sub x14, x15, x11  | DL  | nop | nop | nop | nop      RD:  0  RS:  0
   87  00000150  FFF60613     blt x14, x12, xFF0 | DLB | A   | nop | nop | nop      RD:  1  RS:  1
